id,name,description,stock
290,PL-200-1716-4,Iman circular de sujecion para perfil,19
291,PL-200-1806-1,Tapa para perfil flexible con salida,17
292,PL-200-1806-3,Grapa de sujecion para perfil flexible,240
293,PL-200-1806-4,Accesorio de union perfill a perfil,61
294,PL-200-1815-AL,Perfil lineal con cobertura de medio circulo,1
295,PL-200-1908-1,Tapa final para perfil DE ALUMINIO empotrado en piso sin salida,1033
296,PL-200-1908-2,Tapa final para perfil DE ALUMINIO empotrado en piso CON salida,3343
297,PL-200-1908-3,GRAPA DE MONTAJE para perfil DE ALUMINIO empotrado en piso,6054
298,PL-200-1908-AL,Perfil lineal de aluminio empotrado en piso con difusor,1
299,PL-200-1913-4,Iman de sujecion para perfil todas las versiones,578
300,PL-200-1913A-PCNG,Cobertura version A para perfil 1913 lisa en negro,3
301,PL-200-1919U-2,Tapa final para perfil de aluminio para esquina sin salida,1
302,PL-200-1919U-3,Clip de montaje para perfil de aluminio para esquina,776
303,PL-200-1930-3,Accesorio de soporte final,1083
304,PL-200-1970-1,Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA CON salida,1693
305,PL-200-1970-2,Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA SIN salida,1669
